orig.ident	newCellType	Freq	sepa	Project	Total	TotalNumber	newTotal	Prop	Condition
PWH26D0	Ttol	129	Dermis	AcuteWound	2427	353	2427	0.0531520395550062	Skin
PWH26D1	Ttol	48	Dermis	AcuteWound	1129	207	1129	0.0425155004428698	Wound1
PWH26D30	Ttol	124	Dermis	AcuteWound	2061	392	2061	0.0601649684619117	Wound30
PWH26D7	Ttol	113	Dermis	AcuteWound	2622	522	2622	0.0430968726163234	Wound7
PWH27D0	Ttol	67	Dermis	AcuteWound	1607	205	1607	0.0416925948973242	Skin
PWH27D1	Ttol	92	Dermis	AcuteWound	1782	513	1782	0.0516273849607183	Wound1
PWH27D30	Ttol	67	Dermis	AcuteWound	3282	230	3282	0.0204143814747105	Wound30
PWH27D7	Ttol	121	Dermis	AcuteWound	4046	666	4046	0.0299060800790905	Wound7
PWH28D0	Ttol	121	Dermis	AcuteWound	2182	336	2182	0.0554537121906508	Skin
PWH28D1	Ttol	64	Dermis	AcuteWound	1044	279	1044	0.0613026819923372	Wound1
PWH28D30	Ttol	180	Dermis	AcuteWound	4246	521	4246	0.0423928403203015	Wound30
PWH28D7	Ttol	219	Dermis	AcuteWound	3102	816	3102	0.0705996131528046	Wound7
VU1	Ttol	580	Dermis	VU	4871	1493	1493	0.388479571332887	VU
VU4	Ttol	191	Dermis	VU	3599	548	548	0.348540145985401	VU
VU5	Ttol	87	Dermis	VU	1893	279	279	0.311827956989247	VU
VU6	Ttol	473	Dermis	VU	4361	1048	1048	0.451335877862595	VU
